file,AID,MinAge,Sex,VTB_Umb,survey index,SurveyDate(M/D/Y),avg TOO_TOHcm,SD TOO_TOHcm,# TOO_TOH,avg TOO_NIcm,SD TOO_NIcm,avg TOH_NIcm,SD TOH_NIcm,# TOH_NI,avg NI_FBHcm,SD NI_FBHcm,# NI_FBH,avg TOO_FBHcm,SD TOO_FBHcm,avg TOH_FBHcm,SD TOH_FBHcm,,,,,
2015oct_383A3225.JPG,2633,C,M,1,12.2,10/27/2015,18.1,8.2,3,108.4,0.8,92.0,7.1,3,,,,,,,,,,,,
2015oct_383A3273.JPG,2635,C,,1,12.2,10/27/2015,9.1,3.1,3,77.8,4.1,68.1,5.3,4,106.1,3.6,5,182.8,6.3,173.4,6.6,,,,,
2015oct_383A3409.JPG,2639,C,,1,12.2,10/27/2015,11.6,2.9,5,77.8,26.5,70.4,26.8,5,,,,,,,,,,,,
2015oct_383A4279.JPG,2664,C,M,1,12.2,10/27/2015,11.8,0.4,4,95.0,2.2,83.4,2.5,4,130.9,1.0,4,215.2,1.0,203.6,1.2,,,,,
2015oct_383A4277.JPG,2666,C,F,1,12.2,10/27/2015,11.1,1.7,5,89.2,5.0,80.1,5.0,5,127.4,6.0,4,217.0,1.3,207.6,1.9,,,,,
2015Sep_383A2828.JPG,2667,C,,1,12.1,9/14/2015,10.6,2.2,3,91.6,0.7,82.3,3.4,3,,,,222.1,2.4,213.0,7.4,,,,,
2015oct_383A4382.JPG,2671,C,,1,12.2,10/27/2015,12.2,1.4,4,96.0,6.2,87.8,3.9,4,134.9,3.6,5,230.7,4.6,222.2,0.7,,,,,
2015Sep_383A2013.JPG,2675,C,,1,12.1,9/14/2015,12.4,1.5,4,90.7,5.8,82.0,6.1,4,,,,,,,,,,,,
2015Sep_383A2016.JPG,2675,C,,1,12.1,9/14/2015,10.4,1.7,4,95.6,2.9,86.7,4.5,4,,,,,,,,,,,,
2015Sep_383A2017.JPG,2675,C,,1,12.1,9/14/2015,10.3,2.0,5,94.9,0.8,85.5,1.1,5,,,,,,,,,,,,
2015Sep_383A2035.JPG,2676,C,,1,12.1,9/14/2015,8.0,1.9,5,85.0,8.4,77.7,7.3,5,,,,198.1,7.4,190.1,10.7,,,,,
2015Sep_383A2036.JPG,2676,C,,1,12.1,9/14/2015,6.3,1.6,4,79.5,4.6,75.7,1.7,4,115.7,3.1,3,194.2,3.4,190.6,0.5,,,,,
2015Sep_383A2094.JPG,2679,C,F,1,12.1,9/14/2015,11.1,2.0,4,90.0,4.2,81.2,3.7,5,122.5,3.0,5,208.5,1.7,199.2,1.2,,,,,
2015Sep_383A2826.JPG,2689,C,,1,12.1,9/14/2015,10.5,1.6,5,86.4,2.7,77.8,3.6,5,120.6,4.4,5,206.7,2.8,198.4,3.3,,,,,
2015Sep_383A3161.JPG,2706,C,F,1,12.1,9/14/2015,10.5,1.9,4,84.9,5.8,78.1,3.6,4,,,,205.0,5.1,196.0,7.6,,,,,
2015Sep_383A3164.JPG,2706,C,F,1,12.1,9/14/2015,11.1,1.8,4,86.0,34.7,77.1,34.7,4,166.6,32.0,4,243.8,2.5,237.0,2.9,,,,,
2015Sep_383A3165.JPG,2706,C,F,1,12.1,9/14/2015,8.9,2.5,5,97.7,4.5,90.1,2.2,5,,,,232.9,1.1,221.6,0.6,,,,,
2015Sep_383A3184.JPG,2707,C,M,1,12.1,9/14/2015,6.6,0.5,3,90.2,6.2,83.9,5.5,3,128.5,6.8,3,201.7,16.3,196.1,15.9,,,,,
2015Sep_383A3185.JPG,2707,C,M,1,12.1,9/14/2015,7.2,1.0,5,86.0,3.8,79.6,3.0,5,,,,,,,,,,,,
2015Sep_383A3200.JPG,2710,C,F,1,12.1,9/14/2015,37.5,58.0,5,97.9,1.9,96.9,17.3,5,,,,,,,,,,,,
2016Oct_383A5146.JPG,2887,C,F,1,15.2,10/4/2016,8.9,2.6,4,96.8,15.5,88.5,13.9,4,139.1,7.8,3,231.1,4.2,222.6,1.4,,,,,
2016Sep_383A4614.JPG,2891,C,M,1,15.1,9/23/2016,12.7,0.3,3,96.1,3.0,85.2,2.8,3,,,,231.1,6.2,220.0,5.8,,,,,
2016Oct_383A5335.JPG,2898,C,M,1,15.2,10/4/2016,9.8,0.9,3,98.2,1.9,68.8,39.8,4,,,,,,,,,,,,
2016Oct_383A5381.JPG,2902,C,,1,15.2,10/4/2016,10.8,1.7,4,91.0,4.5,81.9,5.9,3,197.2,105.5,4,235.0,1.7,225.7,0.6,,,,,
2016Sep_383A4627.JPG,2948,,,1,15.1,9/23/2016,11.4,2.7,5,76.5,2.0,69.2,1.3,5,111.7,0.9,4,185.4,2.5,179.7,1.4,,,,,
2017May_383A8402.JPG,3262,C,F,1,17.1,5/26/2017,10.3,8.4,4,87.2,14.4,78.8,5.4,4,112.6,12.9,4,198.6,4.2,190.1,7.4,,,,,
2017May_383A8726.JPG,3277,C,,1,17.1,5/26/2017,10.4,3.1,3,81.2,1.7,73.8,3.3,3,,,,,,,,,,,,
2018Feb_383A7311.JPG,3489,C,F,1,19.2,2/3/2018,10.3,1.0,4,93.2,0.5,83.8,1.9,4,,,,,,,,,,,,
2018May_8346.JPG,3695,C,M,1,20.1,5/22/2018,15.1,6.5,3,92.5,2.2,80.8,1.6,3,,,,208.4,2.3,194.8,1.6,,,,,
2018Sep_0342.JPG,3806,C,,1,21.1,9/25/2018,10.6,1.9,4,93.4,4.7,83.5,2.6,4,,,,,,,,,,,,
2018Sep_0604.JPG,3819,C,,1,21.1,9/25/2018,10.9,0.9,5,91.9,3.4,81.0,3.2,4,134.7,1.3,3,225.6,2.6,214.9,2.5,,,,,
2018Sep_0971.JPG,3761,C,,1,21.1,9/25/2018,6.7,1.6,5,77.9,0.9,72.0,2.1,5,,,,,,,,,,,,
2017Jan_383A5928.JPG,3180,C,M,1,16.1,1/22/2017,10.9,5.0,3,92.3,0.9,85.3,0.3,3,126.4,0.5,3,211.0,1.1,201.1,2.2,,,,,
2014Oct_IMG_7744.JPG,2398,C,,1,9.2,10/4/2014,8.8,0.6,4,58.2,1.7,53.7,1.5,4,,,,,,,,,,,,
2014Oct_IMG_7747.JPG,2398,C,,1,9.2,10/4/2014,8.8,2.2,5,79.0,2.1,71.6,1.6,5,,,,,,,,,,,,
2014Oct_IMG_7755.JPG,2400,C,F,1,9.2,10/4/2014,9.7,1.6,5,90.4,3.4,82.7,2.9,5,,,,,,,,,,,,
2015Jan_IMG_8838.JPG,2462,C,M,1,10.1,1/19/2015,12.0,4.7,3,76.3,0.9,69.7,0.8,3,,,,,,,,,,,,
2015Jan_IMG_8839.JPG,2462,C,M,1,10.1,1/19/2015,7.6,1.0,3,76.7,2.0,69.5,2.4,3,,,,186.6,2.1,179.6,1.5,,,,,
2015Jan_IMG_8846.JPG,2462,C,M,1,10.1,1/19/2015,8.5,1.9,3,76.5,2.4,68.5,1.0,3,,,,,,,,,,,,
2015Jan_IMG_8991.JPG,2468,C,,1,10.1,1/19/2015,11.2,2.5,3,89.9,7.4,81.1,5.9,3,,,,,,,,,,,,
2015Jun_383A2207.JPG,2564,C,F,1,11.2,6/3/2015,8.4,0.8,5,86.0,1.0,78.9,0.9,5,,,,,,,,,,,,
2015Jun_383A2208.JPG,2564,C,F,1,11.2,6/3/2015,8.7,0.6,3,87.2,2.8,80.0,1.7,3,,,,,,,,,,,,
2015May_383A0388.JPG,2593,C,M,1,11.1,5/21/2015,9.7,1.9,6,93.9,1.7,85.0,2.2,6,,,,,,,,,,,,
2015Jun_383A3309.JPG,2596,C,,1,11.2,6/3/2015,18.5,5.3,5,128.5,74.3,118.0,78.4,5,,,,,,,,,,,,
2015May_383A0337.JPG,2609,C,F,1,11.1,5/21/2015,11.4,0.9,3,86.1,3.3,75.8,3.6,3,,,,,,,,,,,,
2016Sep_383A3966.JPG,2886,C,M,1,15.1,9/23/2016,10.1,1.6,3,82.6,3.7,75.7,2.6,4,124.9,0.4,3,203.2,0.6,195.6,1.9,,,,,
2012Jan.IMG_8610.JPG,1,A,M,,1.1,1/25/2012,18.3,2.1,6,229.8,9.6,215.8,8.5,6,,,,,,,,,,,,
2014_Jun_IMG_4819.JPG,1,A,M,,8.2,6/4/2014,19.0,5.0,5,219.2,21.0,203.5,27.8,5,,,,,,,,,,,,
2014Sept_IMG_6237.JPG,1,A,M,,9.1,9/20/2014,17.9,1.4,5,242.2,1.9,227.0,2.1,5,,,,,,,,,,,,
2015Feb_IMG_0674.JPG,1,A,M,,10.2,2/6/2015,21.4,5.7,3,209.9,9.7,196.3,13.1,3,,,,,,,,,,,,
2012FEB.IMG_0007.JPG,2,,,,1.2,2/7/2012,22.9,16.5,3,149.9,10.7,142.9,1.2,3,,,,,,,,,,,,
2012May.IMG_2662.JPG,3,A,M,,2.1,5/20/2012,19.2,5.0,4,212.1,4.2,198.3,4.7,4,,,,475.7,10.5,458.2,8.9,,,,,
2012Jun.IMG_3884.JPG,3,A,M,,2.2,6/15/2012,13.7,1.4,5,203.1,9.4,192.4,8.4,5,,,,428.7,20.5,416.0,17.8,,,,,
2013Jan.IMG_8085.JPG,3,A,M,,4.1,1/21/2013,16.3,1.5,3,223.6,2.0,211.0,1.4,3,,,,,,,,,,,,
2015Sep_383A2691.JPG,3,A,M,,12.1,9/14/2015,17.5,1.9,6,221.5,16.2,204.3,17.5,6,,,,,,,,,,,,
2015oct_383A3913.JPG,3,A,M,,12.2,10/27/2015,19.5,8.8,5,219.9,2.1,207.7,9.4,5,,,,,,,,,,,,
2012Jan.IMG_8623.JPG,4,A,M,,1.1,1/25/2012,18.6,3.7,8,229.2,15.4,214.2,15.2,9,,,,,,,,,,,,
2013May.IMG_2720.JPG,4,A,M,,5.1,5/18/2013,19.7,4.9,5,231.0,9.2,213.5,12.4,5,,,,413.6,22.0,390.5,27.4,,,,,
2016May_383A1010.JPG,4,A,M,,14.1,5/14/2016,22.1,5.1,3,254.6,6.6,246.2,9.0,3,,,,,,,,,,,,
2013Jan.IMG_8126.JPG,5,A,M,,4.1,1/21/2013,17.5,0.4,3,207.1,2.9,197.5,3.1,3,,,,,,,,,,,,
2014May_IMG_3226.JPG,5,A,M,,8.1,5/19/2014,63.2,97.4,5,211.3,15.2,210.6,30.0,5,,,,,,,,,,,,
2018June_8994.JPG,5,A,M,,20.2,6/6/2018,14.9,1.8,5,222.9,3.3,211.6,6.3,5,,,,,,,,,,,,
2012Jan.IMG_8681.JPG,6,A,M,,1.1,1/25/2012,21.2,4.2,5,222.1,3.8,204.8,5.4,5,,,,,,,,,,,,
