Zoo,Name,Birthday,Sex (M/F),Date of Measurement,Ossicones (Y/N),Age (days),Age (months),Height (cm),Subspecies,Other,Notes
Kansas City Zoo,Chandy,9/3/2019,F,9/5/2019,Y,2,0,173,Masai,,
Kansas City Zoo,Chandy,9/3/2019,F,9/26/2019,Y,23,1,183,Masai,,
Kansas City Zoo,Chandy,9/3/2019,F,10/2/2019,Y,29,1,185,Masai,,
Kansas City Zoo,Chandy,9/3/2019,F,10/15/2019,Y,42,1,191,Masai,,
Kansas City Zoo,Dixie,2/2/2018,F,2/2/2018,Y,0,0,152,Masai,,
Kansas City Zoo,Dixie,2/2/2018,F,12/18/2018,Y,319,11,259,Masai,,
Kansas City Zoo,Dixie,2/2/2018,F,1/2/2019,Y,334,11,262,Masai,,
Kansas City Zoo,Dixie,2/2/2018,F,2/2/2019,Y,365,12,274,Masai,,
Kansas City Zoo,Dixie,2/2/2018,F,5/3/2019,Y,455,15,290,Masai,,
Kansas City Zoo,Dixie,2/2/2018,F,8/2/2019,Y,546,18,292,Masai,,
Kansas City Zoo,Dixie,2/2/2018,F,11/7/2019,Y,643,21,305,Masai,,
Cincinnati Zoo,Fennessy,6/17/2019,M,6/19/2019,N,2,0,178,Masai,,
Cincinnati Zoo,Fennessy,6/17/2019,M,7/11/2019,N,24,1,198,Masai,,
Cincinnati Zoo,Fennessy,6/17/2019,M,7/18/2019,N,31,1,203,Masai,,
Cincinnati Zoo,Fennessy,6/17/2019,M,7/31/2019,N,44,1,211,Masai,,
Cincinnati Zoo,Fennessy,6/17/2019,M,8/8/2019,N,52,2,218,Masai,,
Cincinnati Zoo,Fennessy,6/17/2019,M,8/16/2019,N,60,2,229,Masai,,
Cincinnati Zoo,Fennessy,6/17/2019,M,8/22/2019,N,66,2,231,Masai,,
Cincinnati Zoo,Fennessy,6/17/2019,M,9/5/2019,N,80,3,236,Masai,,
Cincinnati Zoo,Fennessy,6/17/2019,M,9/12/2019,N,87,3,239,Masai,,
Cincinnati Zoo,Fennessy,6/17/2019,M,9/19/2019,N,94,3,241,Masai,,
Cincinnati Zoo,Fennessy,6/17/2019,M,9/27/2019,N,102,3,243,Masai,,
Cincinnati Zoo,Fennessy,6/17/2019,M,10/13/2019,N,118,4,246,Masai,,
Cincinnati Zoo,Fennessy,6/17/2019,M,10/25/2019,N,130,4,253,Masai,,
Cincinnati Zoo,Fennessy,6/17/2019,M,11/1/2019,N,137,5,257,Masai,,
Cincinnati Zoo,Fennessy,6/17/2019,M,11/21/2019,N,157,5,259,Masai,,
Cincinnati Zoo,Fennessy,6/17/2019,M,12/1/2019,N,167,6,264,Masai,,
Cincinnati Zoo,Fennessy,6/17/2019,M,12/26/2019,N,192,6,272,Masai,,
Seneca Park Zoo,Iggy,6/4/2017,F,6/5/2017,N,1,0,182,Masai,,
Seneca Park Zoo,Iggy,6/4/2017,F,3/27/2019,N,661,22,351,Masai,,
Greenville Zoo,Kellan,6/30/2019,M,6/30/2019,N,0,0,185,Masai,,
Greenville Zoo,Kellan,6/30/2019,M,7/10/2019,Y,10,0,208,Masai,,
Greenville Zoo,Kellan,6/30/2019,M,7/24/2019,Y,24,1,213,Masai,,
Greenville Zoo,Kellan,6/30/2019,M,8/22/2019,Y,53,2,234,Masai,,
Greenville Zoo,Kesi,1/7/2006,F,7/10/2019,Y,4932,164,457,Masai,,Adult
Greenville Zoo,Kiden,1/31/2018,F,1/31/2018,Y,0,0,188,Masai,,
