Context,Measurement,Group,Rank,Model,AIC,ΔAIC,Akaike Weight,SSE,N,Selected,Parameters
wild_TH_by_sex,TH,F,1,von_bertalanffy,7506.355780033428,0.0,0.40135961184771846,1893540.7417519395,993,,"A=421.8 [416.3, 427.3]; k=0.04329 [0.03736, 0.04923]; t0=-43 [-49.43, -36.57]"
wild_TH_by_sex,TH,F,2,gompertz,7506.770223119371,0.41444308594236645,0.3262409667437306,1894331.2036428829,993,✓,"A=421.3 [415.9, 426.7]; k=0.04532 [0.03922, 0.05142]; t0=-15.2 [-18, -12.4]"
wild_TH_by_sex,TH,F,3,logistic,7508.430661118896,2.0748810854674957,0.14222598984855225,1897501.446116436,993,,"A=420.1 [415, 425.2]; k=0.05152 [0.04488, 0.05817]; t0=-8.889 [-11.06, -6.715]"
wild_TH_by_sex,TH,F,4,richards,7508.783865578988,2.428085545559952,0.11920146446106439,1894357.229337219,993,,"A=421.3 [414.3, 428.4]; k=0.04538 [0.02542, 0.06535]; t0=-15.13 [-36.58, 6.328]; nu=0.01 [-2.974, 2.994]"
wild_TH_by_sex,TH,F,5,poly3,7513.55480851073,7.199028477301908,0.010971967098934271,1903480.7103134613,993,,a3=0.0001693; a2=-0.05038; a1=4.92; a0=259.8
wild_TH_by_sex,TH,M,1,poly3,4474.394695217015,0.0,0.9941006522241955,1569841.3572177696,563,,a3=0.0001765; a2=-0.0526; a1=5.686; a0=251.8
wild_TH_by_sex,TH,M,2,von_bertalanffy,4485.737373939203,11.342678722187884,0.003422937498887623,1607489.780341176,563,,"A=498.6 [485.2, 511.9]; k=0.0271 [0.02269, 0.03152]; t0=-59.2 [-69.04, -49.37]"
wild_TH_by_sex,TH,M,3,gompertz,4487.161692131864,12.766996914848278,0.0016792378065466568,1611561.672972313,563,✓,"A=496.5 [483.8, 509.2]; k=0.02918 [0.02461, 0.03375]; t0=-13.99 [-16.98, -11]"
wild_TH_by_sex,TH,M,4,richards,4489.204749953142,14.810054736126403,0.0006045995706656021,1611684.928723684,563,,"A=496.4 [476.9, 515.9]; k=0.02924 [0.01193, 0.04655]; t0=-13.86 [-48.96, 21.24]; nu=0.01 [-2.625, 2.645]"
wild_TH_by_sex,TH,M,5,logistic,4491.492933133997,17.098237916981816,0.00019257289970477963,1624007.4639079575,563,,"A=491.6 [480.4, 502.8]; k=0.03558 [0.0305, 0.04065]; t0=-2.834 [-5.041, -0.6271]"
wild_TH_by_vtb_umb,TH,Umb=0,1,gompertz,12479.967056805932,0.0,1.0,4060235.744712101,1590,✓,"A=448.4 [442.3, 454.4]; k=0.03579 [0.03201, 0.03956]; t0=-16 [-18.16, -13.84]"
wild_TH_by_vtb_umb,TH,Umb>0,1,gompertz,255.95265748272428,0.0,1.0,27317.633063450143,38,✓,"A=371.4 [326.7, 416.1]; k=0.08264 [0.03223, 0.133]; t0=-6.848 [-10.39, -3.31]"
wild_TH_overall,TH,overall,1,poly3,12719.78715279772,0.0,0.9999999975749696,4006107.435084308,1628,,a3=0.0002207; a2=-0.0594; a1=5.562; a0=251.5
wild_TH_overall,TH,overall,2,von_bertalanffy,12759.887216440897,40.10006364317633,1.960567579958449e-09,4111056.475103842,1628,,"A=448.8 [442.7, 455]; k=0.03446 [0.03085, 0.03807]; t0=-50.48 [-55.97, -44.99]"
wild_TH_overall,TH,overall,3,gompertz,12763.373747536663,43.58659473894295,3.429977008327792e-10,4119870.1638954817,1628,✓,"A=447.7 [441.8, 453.6]; k=0.03657 [0.03285, 0.0403]; t0=-15.21 [-17.21, -13.21]"
wild_TH_overall,TH,overall,4,richards,12765.478886508354,45.69173371063334,1.1971982942334662e-10,4120136.240615312,1628,,"A=447.7 [439.4, 456]; k=0.03664 [0.02345, 0.04982]; t0=-15.11 [-34.53, 4.303]; nu=0.01 [-1.969, 1.989]"
wild_TH_overall,TH,overall,5,logistic,12773.935074127232,54.14792132951152,1.7455338650965873e-12,4146683.883454667,1628,,"A=445 [439.6, 450.4]; k=0.04305 [0.03895, 0.04715]; t0=-6.777 [-8.236, -5.317]"
wild_TH_sex_unknown,TH,overall,1,gompertz,497.95060994545446,0.0,0.3391542056861533,66790.32270667696,72,✓,"A=313.1 [175.3, 451]; k=0.149 [-0.2388, 0.5368]; t0=-7.522 [-20.15, 5.102]"
wild_TH_sex_unknown,TH,overall,2,logistic,497.96782251743457,0.01721257198011017,0.33624787190601263,66806.29174370176,72,,"A=309.8 [191.3, 428.3]; k=0.1738 [-0.2159, 0.5634]; t0=-5.738 [-12.97, 1.497]"
wild_TH_sex_unknown,TH,overall,3,poly3,499.0106524157276,1.0600424702731175,0.19962361187451783,65924.04425643549,72,,a3=0.1653; a2=-3.471; a1=24.21; a0=215
