context,measurement,descriptor,group,model,success,aic,sse,n_obs,message,is_selected,params
wild_TH_by_sex,TH,total height (TH),F,gompertz,True,7506.770223119371,1894331.2036428829,993,,True,"A=421.3 [415.9, 426.7]; k=0.04532 [0.03922, 0.05142]; t0=-15.2 [-18, -12.4]"
wild_TH_by_sex,TH,total height (TH),F,logistic,True,7508.430661118896,1897501.4461164358,993,,False,"A=420.1 [415, 425.2]; k=0.05152 [0.04488, 0.05817]; t0=-8.889 [-11.06, -6.715]"
wild_TH_by_sex,TH,total height (TH),F,poly3,True,7513.55480851073,1903480.7103134613,993,,False,a3=0.0001693; a2=-0.05038; a1=4.92; a0=259.8
wild_TH_by_sex,TH,total height (TH),F,richards,True,7508.783865578988,1894357.229337219,993,,False,"A=421.3 [414.3, 428.4]; k=0.04538 [0.02542, 0.06535]; t0=-15.13 [-36.58, 6.328]; nu=0.01 [-2.974, 2.994]"
wild_TH_by_sex,TH,total height (TH),F,von_bertalanffy,True,7506.355780033428,1893540.7417519395,993,,False,"A=421.8 [416.3, 427.3]; k=0.04329 [0.03736, 0.04923]; t0=-43 [-49.43, -36.57]"
wild_TH_by_sex,TH,total height (TH),M,gompertz,True,4487.161692131864,1611561.6729723127,563,,True,"A=496.5 [483.8, 509.2]; k=0.02918 [0.02461, 0.03375]; t0=-13.99 [-16.98, -11]"
wild_TH_by_sex,TH,total height (TH),M,logistic,True,4491.492933133997,1624007.4639079575,563,,False,"A=491.6 [480.4, 502.8]; k=0.03558 [0.0305, 0.04065]; t0=-2.834 [-5.041, -0.6271]"
wild_TH_by_sex,TH,total height (TH),M,poly3,True,4474.394695217015,1569841.3572177696,563,,False,a3=0.0001765; a2=-0.0526; a1=5.686; a0=251.8
wild_TH_by_sex,TH,total height (TH),M,richards,True,4489.204749953142,1611684.928723684,563,,False,"A=496.4 [476.9, 515.9]; k=0.02924 [0.01193, 0.04655]; t0=-13.86 [-48.96, 21.24]; nu=0.01 [-2.625, 2.645]"
wild_TH_by_sex,TH,total height (TH),M,von_bertalanffy,True,4485.737373939203,1607489.780341176,563,,False,"A=498.6 [485.2, 511.9]; k=0.0271 [0.02269, 0.03152]; t0=-59.2 [-69.04, -49.37]"
wild_TH_by_vtb_umb,TH,total height (TH) (by VTB_Umb),Umb=0,gompertz,True,12479.967056805932,4060235.744712101,1590,,True,"A=448.4 [442.3, 454.4]; k=0.03579 [0.03201, 0.03956]; t0=-16 [-18.16, -13.84]"
wild_TH_by_vtb_umb,TH,total height (TH) (by VTB_Umb),Umb>0,gompertz,True,255.95265748272428,27317.633063450143,38,,True,"A=371.4 [326.7, 416.1]; k=0.08264 [0.03223, 0.133]; t0=-6.848 [-10.39, -3.31]"
wild_TH_overall,TH,total height (TH),overall,gompertz,True,12763.373747536665,4119870.1638954817,1628,,True,"A=447.7 [441.8, 453.6]; k=0.03657 [0.03285, 0.0403]; t0=-15.21 [-17.21, -13.21]"
wild_TH_overall,TH,total height (TH),overall,logistic,True,12773.935074127232,4146683.883454667,1628,,False,"A=445 [439.6, 450.4]; k=0.04305 [0.03895, 0.04715]; t0=-6.777 [-8.236, -5.317]"
wild_TH_overall,TH,total height (TH),overall,poly3,True,12719.78715279772,4006107.435084308,1628,,False,a3=0.0002207; a2=-0.0594; a1=5.562; a0=251.5
wild_TH_overall,TH,total height (TH),overall,richards,True,12765.478886508354,4120136.240615312,1628,,False,"A=447.7 [439.4, 456]; k=0.03664 [0.02345, 0.04982]; t0=-15.11 [-34.53, 4.303]; nu=0.01 [-1.969, 1.989]"
wild_TH_overall,TH,total height (TH),overall,von_bertalanffy,True,12759.887216440895,4111056.475103842,1628,,False,"A=448.8 [442.7, 455]; k=0.03446 [0.03085, 0.03807]; t0=-50.48 [-55.97, -44.99]"
wild_TH_sex_unknown,TH,total height (TH) (sex unknown),overall,gompertz,True,497.95060994545446,66790.32270667696,72,,True,"A=313.1 [175.3, 451]; k=0.149 [-0.2388, 0.5368]; t0=-7.522 [-20.15, 5.102]"
wild_TH_sex_unknown,TH,total height (TH) (sex unknown),overall,logistic,True,497.96782251743457,66806.29174370176,72,,False,"A=309.8 [191.3, 428.3]; k=0.1738 [-0.2159, 0.5634]; t0=-5.738 [-12.97, 1.497]"
wild_TH_sex_unknown,TH,total height (TH) (sex unknown),overall,poly3,True,499.01065241572763,65924.04425643549,72,,False,a3=0.1653; a2=-3.471; a1=24.21; a0=215
wild_TH_sex_unknown,TH,total height (TH) (sex unknown),overall,richards,True,499.9507753422843,66790.476136126,72,,False,"A=313.1 [-93.05, 719.2]; k=0.1493 [-2.862, 3.16]; t0=-7.502 [-274, 259]; nu=0.01 [-133.4, 133.4]"
wild_TH_sex_unknown,TH,total height (TH) (sex unknown),overall,von_bertalanffy,True,512.6613698706683,81930.74444444447,72,,False,"A=243.4 [235.5, 251.4]; k=0.1969 [0.1969, 0.1969]; t0=-189.6 [-189.6, -189.6]"
wild_alignment_seed_TH_by_sex,TH,total height (TH),F,gompertz,True,7592.762676893925,2065690.3773018788,993,,True,"A=415.9 [411.1, 420.7]; k=0.05429 [0.04654, 0.06204]; t0=-13.4 [-16.06, -10.74]"
wild_alignment_seed_TH_by_sex,TH,total height (TH),F,logistic,True,7592.270446435009,2064666.667582812,993,,False,"A=415.2 [410.5, 419.8]; k=0.06114 [0.05269, 0.0696]; t0=-8.207 [-10.32, -6.096]"
wild_alignment_seed_TH_by_sex,TH,total height (TH),F,poly3,True,7593.159371279955,2062357.7884997027,993,,False,a3=0.0002165; a2=-0.06081; a1=5.398; a0=262.3
wild_alignment_seed_TH_by_sex,TH,total height (TH),F,richards,True,7594.218079972265,2064557.788993378,993,,False,"A=414.9 [409.5, 420.2]; k=0.0646 [0.03409, 0.0951]; t0=-5.986 [-22.96, 10.99]; nu=1.493 [-2.348, 5.333]"
wild_alignment_seed_TH_by_sex,TH,total height (TH),F,von_bertalanffy,True,7593.06606482691,2066321.5971217358,993,,False,"A=416.2 [411.3, 421.1]; k=0.05206 [0.04453, 0.05959]; t0=-36.47 [-42.31, -30.63]"
wild_alignment_seed_TH_by_sex,TH,total height (TH),M,gompertz,True,4556.878022850557,1824003.4159021524,563,,True,"A=494.9 [481.5, 508.3]; k=0.02962 [0.02455, 0.03469]; t0=-15.06 [-18.43, -11.7]"
wild_alignment_seed_TH_by_sex,TH,total height (TH),M,logistic,True,4560.489863808584,1835742.6480463762,563,,False,"A=490.6 [478.7, 502.5]; k=0.03576 [0.03015, 0.04137]; t0=-4.201 [-6.626, -1.776]"
wild_alignment_seed_TH_by_sex,TH,total height (TH),M,poly3,True,4547.5122223294575,1787549.7754982975,563,,False,a3=0.0001724; a2=-0.05154; a1=5.563; a0=258
wild_alignment_seed_TH_by_sex,TH,total height (TH),M,richards,True,4558.914747966074,1824122.4015522595,563,,False,"A=494.8 [474.7, 514.9]; k=0.02968 [0.01074, 0.04862]; t0=-14.93 [-53.04, 23.17]; nu=0.01 [-2.942, 2.962]"
wild_alignment_seed_TH_by_sex,TH,total height (TH),M,von_bertalanffy,True,4555.651346084234,1820033.563566489,563,,False,"A=496.7 [482.7, 510.7]; k=0.02763 [0.02272, 0.03254]; t0=-59.32 [-70.05, -48.58]"
wild_alignment_seed_TH_overall,TH,total height (TH),overall,gompertz,True,12932.258140291986,4570209.248311349,1628,,True,"A=439.7 [434.5, 445]; k=0.04333 [0.03863, 0.04804]; t0=-13.78 [-15.78, -11.79]"
