AID,Sex,MinAge,SurveyDate,avg TOO_TOHcm,avg TOH_NIcm,avg NI_FBHcm,TH,VTB_Umb,age_class_mid_mo,age_months_initial,age_months,VTB_Umb_Flag,age_at_first_months
1.0,M,A,2012-01-25,18.3,215.8,,,0.0,60.0,60.0,60.0,Umb=0,60.0
1.0,M,A,2014-06-04,19.0,203.5,,,0.0,60.0,60.0,88.32236842105263,Umb=0,60.0
1.0,M,A,2014-09-20,17.9,227.0,,,0.0,60.0,60.0,91.875,Umb=0,60.0
1.0,M,A,2015-02-06,21.4,196.3,,,0.0,60.0,60.0,96.44736842105263,Umb=0,60.0
2.0,,,2012-02-07,22.9,142.9,,,0.0,,,,Umb=0,
3.0,M,A,2012-05-20,19.2,198.3,,,0.0,60.0,60.0,60.0,Umb=0,60.0
3.0,M,A,2012-06-15,13.7,192.4,,,0.0,60.0,60.0,60.85526315789474,Umb=0,60.0
3.0,M,A,2013-01-21,16.3,211.0,,,0.0,60.0,60.0,68.09210526315789,Umb=0,60.0
3.0,M,A,2015-09-14,17.5,204.3,,,0.0,60.0,60.0,99.86842105263159,Umb=0,60.0
3.0,M,A,2015-10-27,19.5,207.7,,,0.0,60.0,60.0,101.28289473684211,Umb=0,60.0
4.0,M,A,2012-01-25,18.6,214.2,,,0.0,60.0,60.0,60.0,Umb=0,60.0
4.0,M,A,2013-05-18,19.7,213.5,,,0.0,60.0,60.0,75.75657894736842,Umb=0,60.0
4.0,M,A,2016-05-14,22.1,246.2,,,0.0,60.0,60.0,111.67763157894737,Umb=0,60.0
5.0,M,A,2013-01-21,17.5,197.5,,,0.0,60.0,60.0,60.0,Umb=0,60.0
5.0,M,A,2014-05-19,63.2,210.6,,,0.0,60.0,60.0,75.88815789473685,Umb=0,60.0
5.0,M,A,2018-06-06,14.9,211.6,,,0.0,60.0,60.0,124.53947368421053,Umb=0,60.0
6.0,M,A,2012-01-25,21.2,204.8,,,0.0,60.0,60.0,67.08929128485192,Umb=0,67.08929128485192
6.0,M,A,2012-02-07,21.3,222.64999999999998,,,0.0,60.0,60.0,67.5169228637993,Umb=0,67.08929128485192
6.0,M,A,2013-10-05,16.6,218.0,258.6,493.20000000000005,0.0,60.0,60.0,87.45113339011507,Umb=0,67.08929128485192
6.0,M,A,2014-02-09,17.0,168.15,,,0.0,60.0,60.0,91.62876496906244,Umb=0,67.08929128485192
6.0,M,A,2014-05-19,18.8,204.5,,,0.0,60.0,60.0,94.88534391643087,Umb=0,67.08929128485192
6.0,M,A,2015-01-19,20.25,218.25,,,0.0,60.0,60.0,102.94455444274666,Umb=0,67.08929128485192
6.0,M,A,2015-09-14,18.4,179.1,,,0.0,60.0,60.0,110.77350181116772,Umb=0,67.08929128485192
6.0,M,A,2016-06-12,19.7,200.5,,,0.0,60.0,60.0,119.72087023222035,Umb=0,67.08929128485192
8.0,M,A,2012-02-07,18.05,171.25,,,0.0,60.0,60.0,33.054834414122254,Umb=0,33.054834414122254
8.0,M,A,2012-06-15,22.2,132.8,,,0.0,60.0,60.0,37.29825546675383,Umb=0,33.054834414122254
8.0,M,A,2013-05-18,28.4,187.5,,,0.0,60.0,60.0,48.38378178254331,Umb=0,33.054834414122254
8.0,M,A,2014-01-19,16.6,181.4,,,0.0,60.0,60.0,56.4758870457012,Umb=0,33.054834414122254
