context,measurement,descriptor,group,model,success,aic,sse,n_obs,message,is_selected,params
wild_TH_by_sex,TH,total height (TH),F,gompertz,True,7477.825707902284,1839911.1718750922,993,,True,A=421.7; k=0.04695; t0=-14.73
wild_TH_by_sex,TH,total height (TH),F,logistic,True,7478.599417127368,1841345.3219078425,993,,False,A=420.5; k=0.05339; t0=-8.607
wild_TH_by_sex,TH,total height (TH),F,richards,True,7479.830534493524,1839920.1149976777,993,,False,A=421.7; k=0.04701; t0=-14.66; nu=0.01
wild_TH_by_sex,TH,total height (TH),F,von_bertalanffy,True,7477.70430528133,1839686.2409740724,993,,False,A=422.1; k=0.04485; t0=-41.58
wild_TH_by_sex,TH,total height (TH),M,gompertz,True,4533.146576055021,1748716.3314638017,563,,True,A=500; k=0.02796; t0=-15.41
wild_TH_by_sex,TH,total height (TH),M,logistic,True,4537.1960312955,1761339.5578737468,563,,False,A=495; k=0.03394; t0=-3.886
wild_TH_by_sex,TH,total height (TH),M,richards,True,4535.187437317071,1748843.2539315578,563,,False,A=500; k=0.02802; t0=-15.28; nu=0.01
wild_TH_by_sex,TH,total height (TH),M,von_bertalanffy,True,4531.786340599431,1744496.4473037403,563,,False,A=502.1; k=0.02602; t0=-62.43
wild_TH_overall,TH,total height (TH),overall,gompertz,True,12794.78090290025,4200121.753178658,1628,,True,A=446.8; k=0.03818; t0=-14.96
wild_TH_overall,TH,total height (TH),overall,logistic,True,12803.71757594296,4223241.117696779,1628,,False,A=444.2; k=0.04485; t0=-6.892
wild_TH_overall,TH,total height (TH),overall,richards,True,12796.870722686832,4200353.4880967075,1628,,False,A=446.7; k=0.03825; t0=-14.86; nu=0.01
wild_TH_overall,TH,total height (TH),overall,von_bertalanffy,True,12791.791189315261,4192415.5873776996,1628,,False,A=447.8; k=0.03602; t0=-48.69
wild_TH_sex_unknown,TH,total height (TH) (sex unknown),overall,gompertz,True,497.95060994545446,66790.32270667696,72,,True,A=313.1; k=0.149; t0=-7.522
wild_TH_sex_unknown,TH,total height (TH) (sex unknown),overall,logistic,True,497.96782251743457,66806.29174370176,72,,False,A=309.8; k=0.1738; t0=-5.738
wild_TH_sex_unknown,TH,total height (TH) (sex unknown),overall,richards,True,499.9507753422843,66790.476136126,72,,False,A=313.1; k=0.1493; t0=-7.502; nu=0.01
wild_TH_sex_unknown,TH,total height (TH) (sex unknown),overall,von_bertalanffy,True,512.6613698706683,81930.74444444447,72,,False,A=243.4; k=0.1969; t0=-189.6
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),F,gompertz,True,6508.023825424969,677618.2540041389,997,,True,A=221.5; k=0.04463; t0=-18.72
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),F,logistic,True,6507.578229033484,677315.4688649407,997,,False,A=221; k=0.04994; t0=-12.69
wild_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),F,poly3,True,6507.080952294835,675621.0580569749,997,,False,a3=7.547e-05; a2=-0.02341; a1=2.324; a0=145.6
